Date,Time,EAR,MAR,Head Position,Phone,Driver Status
15-07-2026,21:24:38,0.199,0.057,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.195,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.197,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.221,0.056,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.211,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.239,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.219,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.235,0.079,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.226,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.225,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.229,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.228,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.233,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.230,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.236,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.254,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.254,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.235,0.385,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.231,0.385,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:39,0.251,0.464,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:39,0.245,0.600,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:39,0.261,0.585,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:39,0.245,0.600,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:39,0.250,0.625,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.245,0.625,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.240,0.575,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.265,0.551,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.275,0.551,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.230,0.550,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.219,0.575,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.230,0.575,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.228,0.550,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.225,0.474,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.237,0.487,LOOKING FORWARD,NO PHONE,YAWNING
15-07-2026,21:24:40,0.248,0.282,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:40,0.225,0.125,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:40,0.212,0.098,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:40,0.241,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:40,0.240,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.253,0.073,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.250,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.260,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.253,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.255,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.244,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.250,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.258,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.247,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.269,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.269,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.264,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.266,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.261,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.261,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:41,0.265,0.048,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:42,0.218,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.228,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.272,0.027,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.260,0.029,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.269,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.295,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.310,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.288,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.290,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.309,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.310,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.310,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.302,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.299,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:42,0.305,0.029,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.307,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.296,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.301,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.299,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.303,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.310,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.314,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.291,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.220,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.209,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:43,0.213,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:43,0.214,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.245,0.026,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.242,0.060,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:43,0.331,0.028,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.341,0.056,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.308,0.056,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.334,0.030,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.347,0.043,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.304,0.029,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.324,0.029,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.322,0.029,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.288,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.241,0.029,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.260,0.027,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:44,0.240,0.027,LOOKING RIGHT,NO PHONE,DISTRACTED
